instance,parent,priority,relatedAlert,filters,entityLevel,alertFunction,thresholdTradeVWAPDifferencePercentage,thresholdTradeQtyDifferencePercentage,minTradeQty,minTradeVal
PK19A:  minTradeVal positive test,TRUE,999,PK19A:  minTradeVal positive test,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,-1.0,6417.79
PK19B:  minTradeVal negative test,TRUE,999,PK19B:  minTradeVal negative test,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,-1.0,6417.8
PK20A:  minTradeQty and minTradeVal positive test,TRUE,999,PK20A:  minTradeQty and minTradeVal positive test,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,199.99,6417.79
PK20B:  minTradeQty and minTradeVal negative test,TRUE,999,PK20B:  minTradeQty and minTradeVal negative test,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,200.0,6417.8
PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,TRUE,999,PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
PK21: Parent Child Prioritisation Test 1 - Child1 - triggers on parent,FALSE,1,PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,sourceData=*doesNotExist*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
PK21: Parent Child Prioritisation Test 1 - Child2 - triggers on parent,FALSE,2,PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,sourceData=*doesNotExist*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
PK22: Parent Child Prioritisation Test 2 - Parent - triggers on child,TRUE,999,PK22: Parent Child Prioritisation Test 2 - Parent - triggers on child,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
PK22: Parent Child Prioritisation Test 2 - Child1 - triggers on child,FALSE,1,PK22: Parent Child Prioritisation Test 2 - Parent - triggers on child,sourceData<>*doesNotExist*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
PK22: Parent Child Prioritisation Test 2 - Child2 - triggers on child,FALSE,2,PK22: Parent Child Prioritisation Test 2 - Parent - triggers on child,sourceData<>*doesNotExist*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
